Interval Size;Interval Size;Return Frequency of Peak Duration;Rainfall of Peak Duration;Interval Start Date;Interval Ending on Date
water year = 1957-1958
56;56;0;6.05;8/5/1965;9/30/1965
57;57;0;6.06;7/27/1965;9/22/1965
58;58;0;6.13;7/27/1965;9/23/1965
59;59;0;6.13;7/26/1965;9/23/1965
60;60;0;6.130001;7/25/1965;9/23/1965
water year = 1965-1966
1;1;0;1.68;5/11/1966;5/12/1966
2;2;0;1.72;5/10/1966;5/12/1966
3;3;0;1.99;10/19/1965;10/22/1965
4;4;0;2.09;10/19/1965;10/23/1965
5;5;0;2.09;10/18/1965;10/23/1965
6;6;0;2.16;8/10/1966;8/16/1966
7;7;0;2.32;8/9/1966;8/16/1966
8;8;0;2.38;8/8/1966;8/16/1966
9;9;0;2.38;6/8/1966;6/17/1966
10;10;0;2.38;6/8/1966;6/18/1966
11;11;0;2.38;6/6/1966;6/17/1966
12;12;0;2.86;8/10/1966;8/22/1966
13;13;0;3.02;8/9/1966;8/22/1966
14;14;0;3.08;8/8/1966;8/22/1966
15;15;0;3.08;8/7/1966;8/22/1966
16;16;0;3.08;8/8/1966;8/24/1966
17;17;0;3.08;8/7/1966;8/24/1966
18;18;0;3.08;8/5/1966;8/23/1966
19;19;0;3.41;8/15/1966;9/3/1966
20;20;0;3.41;8/14/1966;9/3/1966
21;21;0;3.57;8/13/1966;9/3/1966
22;22;0;3.57;8/13/1966;9/4/1966
23;23;0;3.66;4/19/1966;5/12/1966
24;24;0;4.3;8/10/1966;9/3/1966
25;25;0;4.46;8/9/1966;9/3/1966
26;26;0;4.52;8/8/1966;9/3/1966
27;27;0;4.52;8/7/1966;9/3/1966
28;28;0;4.52;8/6/1966;9/3/1966
